Delhi Mumbai Chennai Kolkata Bangalore Hyderabad Ahmedabad Pune Jaipur Lucknow
0 1400 2200 1500 2100 1500 900 1400 270 500
1400 0 1330 2000 980 710 520 150 1140 580
2200 1330 0 1670 360 630 1780 1190 2040 2100
1500 2000 1670 0 1860 1500 1700 1850 1520 1000
2100 980 360 1860 0 570 1230 840 1800 1900
1500 710 630 1500 570 0 1200 560 1500 800
900 520 1780 1700 1230 1200 0 720 500 900
1400 150 1190 1850 840 560 720 0 1180 720
270 1140 2040 1520 1800 1500 500 1180 0 780
500 580 2100 1000 1900 800 900 720 780 0
